Total_Population,Median_Income,Percent_Bachelor_or_Higher,ZIP
16834,17526,,00601
37642,20260,,00602
49075,17703,,00603
5590,19603,,00606
25542,22796,,00610
1315,22525,,00611
63312,22305,,00612
9625,23652,,00616
22573,20328,,00617
7577,22818,,00622
39406,23132,,00623
21648,20101,,00624
32733,23263,,00627
1431,15658,,00631
1057,-666666666,,00636
22882,20568,,00637
17605,19796,,00638
24299,17673,,00641
35926,31330,,00646
4702,17143,,00647
13767,20363,,00650
3924,26148,,00652
8980,13777,,00653
18121,21456,,00656
37066,23899,,00659
15483,22556,,00660
40480,20283,,00662
14967,17966,,00664
23370,16889,,00667
27529,18838,,00669
8746,16644,,00670
39385,20088,,00674
36683,20160,,00676
15304,26404,,00677
25039,19558,,00678
43173,16535,,00680
30414,17385,,00682
29547,18132,,00683
40346,17481,,00685
28659,22282,,00687
11478,17273,,00688
5781,23343,,00690
33302,25289,,00692
55570,23791,,00693
98,-666666666,,00694
33506,19818,,00698
24475,23045,,00703
6831,19845,,00704
24401,22679,,00705
10487,21765,,00707
15797,18496,,00714
2040,16250,,00715
27166,20184,,00716
15029,14164,,00717
23289,20414,,00718
29523,20533,,00719
20816,16751,,00720
15978,20967,,00723
77244,25786,,00725
53258,33678,,00727
38590,21239,,00728
47826,26978,,00729
32267,17517,,00730
10473,16944,,00731
11164,23125,,00735
45867,27158,,00736
30093,24643,,00738
34678,24887,,00739
2034,18784,,00740
3627,23821,,00741
47494,26189,,00745
19570,20241,,00751
36576,19528,,00754
20048,22764,,00757
8199,17062,,00765
22053,22511,,00766
30779,20126,,00767
34374,20236,,00769
34964,23343,,00771
17316,17209,,00772
17716,22585,,00773
1186,25483,,00775
37726,26052,,00777
40476,39484,,00778
13908,26075,,00780
18639,16221,,00782
34205,21701,,00783
35917,19199,,00784
154,-666666666,,00786
46537,26002,,00791
28335,21278,,00794
42900,22579,,00795
8220,27926,,00901
148,-666666666,,00906
16607,40293,,00907
5260,25778,,00909
7087,38125,,00911
5955,27026,,00912
7068,6449,,00913
24713,12963,,00915
18544,17086,,00917
15976,35000,,00918
17293,28562,,00920
33555,21419,,00921
24760,18389,,00923
47080,21046,,00924
5556,13016,,00925
93751,38432,,00926
13766,40213,,00927
128,-666666666,,00934
68031,31500,,00949
0,-666666666,,00950
298,21354,,00951
8168,19392,,00952
66079,32957,,00953
65841,27243,,00956
41009,28240,,00957
47721,31603,,00959
3405,-666666666,,00960
29271,34141,,00961
19614,18478,,00962
5148,15872,,00965
16451,51732,,00966
3554,55132,,00968
41784,55929,,00969
26430,31484,,00971
61638,35661,,00976
16890,34705,,00979
13876,24244,,00982
31816,30595,,00983
32265,33270,,00985
54109,36396,,00987
16045,73398,93.3,01001
22992,74265,97.9,01002
11989,-666666666,100.0,01003
4837,97409,94.1,01005
15368,99500,97.6,01007
1231,93405,94.9,01008
699,68510,93.3,01009
3699,88438,96.5,01010
1318,80640,92.5,01011
440,73906,93.5,01012
22895,62000,86.2,01013
30417,67617,85.7,01020
2144,52207,95.4,01022
1073,83875,97.6,01026
17711,69337,94.0,01027
16273,100610,94.9,01028
527,93125,85.7,01029
12561,87324,97.0,01030
1697,51250,92.4,01031
484,88077,99.2,01032
6096,102248,93.4,01033
2065,104583,96.7,01034
5295,112450,96.9,01035
4966,110320,97.5,01036
582,78047,95.5,01037
2469,103125,96.7,01038
1728,109167,99.0,01039
38210,49007,78.8,01040
2714,84333,92.8,01050
1885,60875,95.1,01053
1793,105833,95.0,01054
20883,76395,87.7,01056
8215,85614,91.5,01057
14724,79604,93.9,01060
9491,87409,93.6,01062
2089,-666666666,100.0,01063
134,20202,75.6,01066
1585,93906,93.1,01068
8516,71439,84.1,01069
571,60313,97.8,01070
1259,105417,95.4,01071
1413,99000,98.8,01072
6185,114531,96.3,01073
694,88190,87.0,01074
17115,92740,95.5,01075
9244,106779,96.4,01077
640,-666666666,99.8,01079
2674,89335,90.2,01080
1716,88636,93.8,01081
10533,66607,91.6,01082
2539,87511,90.2,01083
99,86538,95.2,01084
41592,78901,90.0,01085
725,51591,100.0,01088
28755,67297,90.8,01089
1428,69048,100.0,01092
145,130781,100.0,01093
44,87188,100.0,01094
14673,126689,97.1,01095
2516,106250,97.2,01096
36,-666666666,100.0,01097
951,91181,95.9,01098
2245,21288,81.0,01103
22606,47413,75.3,01104
12045,23948,64.8,01105
16019,137597,96.6,01106
12443,30825,66.7,01107
26198,48465,79.9,01108
31301,42928,77.5,01109
15112,78354,90.2,01118
14182,54326,86.8,01119
3063,77050,91.8,01128
6486,80352,94.3,01129
0,-666666666,-666666666.0,01144
9467,51410,80.1,01151
45188,67262,92.7,01201
8149,54677,92.8,01220
623,78077,79.2,01222
2565,79226,96.4,01223
124,-666666666,91.1,01224
3239,72485,93.1,01225
6332,76198,95.7,01226
125,-666666666,92.3,01229
9095,73884,94.3,01230
2461,71641,89.4,01235
1625,113958,96.1,01236
2451,86300,95.1,01237
5928,77679,98.0,01238
4922,82578,94.1,01240
255,-666666666,97.6,01242
135,79167,100.0,01243
158,56842,95.1,01244
828,111354,86.4,01245
15279,53692,89.2,01247
818,102596,93.5,01253
961,91667,98.8,01254
931,73958,87.9,01255
620,54219,89.3,01256
2230,78940,99.4,01257
188,117917,97.6,01258
733,120568,98.5,01259
20,-666666666,100.0,01260
1785,75804,96.5,01262
207,78750,98.9,01264
952,85714,95.8,01266
8142,101823,97.6,01267
999,100833,96.8,01270
17880,53536,91.4,01301
1607,80560,96.7,01330
13845,66985,90.1,01331
2470,79000,94.6,01337
65,56250,100.0,01338
1396,69500,94.0,01339
1890,74632,93.2,01340
1620,92500,97.4,01341
1321,99583,97.0,01342
167,76250,86.6,01343
1631,70560,92.6,01344
409,105944,96.9,01346
197,74712,86.9,01347
764,70240,98.5,01349
103,-666666666,95.1,01350
2741,96389,91.5,01351
1747,79135,95.6,01354
1009,76739,97.1,01355
2871,94775,91.2,01360
7643,55773,90.8,01364
1177,104205,96.7,01366
504,78125,92.2,01367
1455,98542,88.6,01368
3713,74680,95.1,01370
4921,96546,96.8,01373
3658,59185,95.5,01375
4868,53671,93.0,01376
814,89643,96.6,01378
779,66290,97.1,01379
25,-666666666,100.0,01380
41661,65599,86.3,01420
6457,111801,95.1,01430
3187,105750,93.5,01431
8118,99375,89.3,01432
1763,106875,86.1,01434
3694,90225,85.4,01436
385,83953,93.5,01438
21231,57289,88.3,01440
